Series Name,"Time","World","China","India","Japan","United Kingdom","United States"
GDP per capita (current US$),"1962","481.863685801241","70.9094116671007","91.6579105818302","633.640315173776","1513.65144854926","3243.84307754988"
GDP per capita (current US$),"1963","509.926908447886","74.3136434486145","103.135871391376","717.866915230894","1592.61447661562","3374.51517105082"
GDP per capita (current US$),"1964","548.204960124756","85.4985551596313","117.842825562753","835.657252484116","1729.39997803568","3573.94118474743"
GDP per capita (current US$),"1965","585.375079405539","98.4867777522206","121.704754280676","919.776688184802","1850.95476855498","3827.52710972039"
GDP per capita (current US$),"1966","621.385395968198","104.324566181147","91.7968816968293","1058.50356090902","1959.62782962126","4146.31664631665"
GDP per capita (current US$),"1967","650.199521844997","96.5895319417819","98.2624856593674","1228.9092104006","2023.62756371118","4336.42658722171"
GDP per capita (current US$),"1968","687.107236982522","91.4727183066072","101.864956092725","1450.61965234374","1896.38674860735","4695.92339043178"
GDP per capita (current US$),"1969","740.158583348249","100.12990326618","109.76019029467","1669.09819990781","2032.34700964503","5032.14474262003"
GDP per capita (current US$),"1970","796.756870975699","113.162991554686","114.663703821518","2003.64704735892","2347.54431773747","5246.88371730098"
GDP per capita (current US$),"1971","861.616191109378","118.654577785346","120.952108084779","2234.26166584905","2649.80151387223","5623.44397840712"
GDP per capita (current US$),"1972","976.337632551672","131.883561243868","125.416281215954","2917.65897572505","3030.43251411977","6109.92586804894"
GDP per capita (current US$),"1973","1164.94993060057","157.090374298657","146.625104408953","3931.3016274222","3426.27622050378","6741.33236436395"
GDP per capita (current US$),"1974","1313.73445513074","160.140093727686","166.716369311362","4281.35992840974","3665.8627976419","7242.44110467889"
GDP per capita (current US$),"1975","1435.48201835788","178.341819608096","161.169568173759","4581.57438948162","4299.74561799284","7820.06547114686"
GDP per capita (current US$),"1976","1531.12421362051","165.40554037242","164.290054541211","5111.29514922063","4138.16778761535","8611.40183915427"
GDP per capita (current US$),"1977","1700.73266886187","185.422832913673","189.916119229584","6230.33568811117","4681.43993173038","9471.3061719314"
GDP per capita (current US$),"1978","1968.59198418346","156.39628140175","209.791977321579","8675.01399673352","5976.93816899991","10587.2857560033"
GDP per capita (current US$),"1979","2250.44700070939","183.985230928274","228.476853454253","8953.59152027864","7804.76208051155","11695.5544200307"
GDP per capita (current US$),"1980","2494.75165889168","194.805525689565","271.923166867251","9307.8392945921","10032.062080015","12597.6675101771"
GDP per capita (current US$),"1981","2510.76111566963","197.070163414358","275.917167533949","10212.378135897","9599.30622221965","13993.166743657"
GDP per capita (current US$),"1982","2440.15486201149","203.336806414082","279.657819577594","9428.87465037062","9146.07735701852","14438.9762759859"
GDP per capita (current US$),"1983","2477.57784636989","225.431026526458","297.160016311135","10213.9582793056","8691.51881306514","15561.4263961128"
GDP per capita (current US$),"1984","2524.46377572326","250.713889587374","282.318456915177","10786.7861809452","8179.19444064991","17134.2860171738"
GDP per capita (current US$),"1985","2610.63783762019","294.457294258851","302.511088671606","11465.7257816258","8652.21654247593","18269.4221684235"
GDP per capita (current US$),"1986","3036.81418395039","281.92935843967","316.846113683895","16882.2739520677","10611.112210096","19115.05290818"
GDP per capita (current US$),"1987","3394.71599641026","251.812067110752","347.4250809966","20355.6052224352","13118.586534629","20100.8588916542"
GDP per capita (current US$),"1988","3734.11733451927","283.537947827329","361.449525740479","24592.7720053564","15987.1680775688","21483.2330602579"
GDP per capita (current US$),"1989","3852.13169845156","310.881157178503","353.255841881628","24505.7672958689","16239.2821960944","22922.4370895271"
GDP per capita (current US$),"1990","4260.66543164312","317.88519809917","375.152019314645","25123.6317862131","19095.4669984608","23954.4793548671"
GDP per capita (current US$),"1991","4440.19355036822","333.141714575898","309.327936127406","28540.7714825993","19900.7266505069","24405.1648147489"
GDP per capita (current US$),"1992","4645.273232118","366.460275912267","323.524792197951","31013.6471483654","20487.1707852878","25492.9516517617"
GDP per capita (current US$),"1993","4654.2110872129","377.38951831929","307.411043241706","35451.2975115738","18389.0195675099","26464.852511744"
GDP per capita (current US$),"1994","4934.35062471773","473.49276222534","353.292495220701","39268.5668686204","19709.2380983653","27776.635528226"
GDP per capita (current US$),"1995","5403.68474670125","609.656765306952","381.527462218128","43440.3678678967","22755.5621228195","28782.1750200918"
GDP per capita (current US$),"1996","5444.06129387849","709.413462811663","408.241774685944","38436.9263119118","23947.958749578","30068.2309182833"
GDP per capita (current US$),"1997","5347.48306276523","781.743728021845","424.086473791529","35021.7190917159","26357.5271904696","31572.6902298492"
GDP per capita (current US$),"1998","5257.82319481015","828.580410344813","421.821590067492","31902.7670955137","27759.3342111026","32949.1977640346"
GDP per capita (current US$),"1999","5381.61017599102","873.287295306257","451.089144230562","36026.5560750168","28154.3712561647","34620.9288990826"
GDP per capita (current US$),"2000","5484.5112729215","959.372108105392","452.413584669676","38532.0408752935","27769.9312549996","36449.8551155349"
GDP per capita (current US$),"2001","5381.14578889922","1053.10802408463","460.826199948675","33846.4656414342","27284.2240406095","37273.6181034176"
GDP per capita (current US$),"2002","5516.50661953191","1148.50805692026","480.621442166669","32289.3505360726","29603.465763617","38166.0378407812"
GDP per capita (current US$),"2003","6117.92557791786","1288.6429243993","557.897365886494","34808.3909176613","34007.8887574143","39677.1983481058"
GDP per capita (current US$),"2004","6804.17360130677","1508.66846230805","640.600522160945","37688.7223359406","39824.7618053778","41921.8097617892"
GDP per capita (current US$),"2005","7274.99549115946","1753.41780007468","729.000727040133","37217.648727917","41524.0655354404","44307.9205848603"
GDP per capita (current US$),"2006","7780.15932978562","2099.22967551721","816.733776199179","35433.988963743","44016.7264104656","46437.0671173065"
GDP per capita (current US$),"2007","8651.02177856386","2695.36622271788","1018.12883785964","35275.2284312667","49949.1548811539","48061.5376613353"
GDP per capita (current US$),"2008","9372.39426528036","3471.24754726234","991.515375831126","39339.2975731826","46523.2654539202","48401.4273403899"
GDP per capita (current US$),"2009","8776.67054442125","3838.43429215628","1090.36060384805","40855.1756354596","38010.1004506576","47001.5553496818"
GDP per capita (current US$),"2010","9510.81843293087","4560.5124871009","1345.7213825728","44507.6637099867","38708.6762921633","48374.0867933094"
GDP per capita (current US$),"2011","10444.7917232176","5633.79610636071","1461.3774794379","48173.9344592983","41243.123274868","49781.8006563523"
GDP per capita (current US$),"2012","10533.8239193704","6337.8829926902","1447.45194692515","48629.1996899952","41538.3072616553","51433.0470904727"
GDP per capita (current US$),"2013","10700.7066494383","7077.7705938533","1456.20162816791","40488.2432036925","42407.3710146402","52749.911239512"
GDP per capita (current US$),"2014","10829.5664900916","7683.50203795784","1576.81766887286","38139.4223595003","46412.1172713997","54539.6655752119"
GDP per capita (current US$),"2015","10093.2989661254","8027.68381013907","1598.25903421916","34523.7007742331","43875.9696143686","56115.7184261955"
GDP (current US$),"1960","1352934141105.46","59716467625.3148","37679274491.2745","44307342950.4","72328047042.1588","543300000000"
